zipcode,timezone_id,rawoffset
00601,America/Puerto_Rico,-4.0
00602,America/Puerto_Rico,-4.0
00603,America/Puerto_Rico,-4.0
00606,America/Puerto_Rico,-4.0
00610,America/Puerto_Rico,-4.0
00612,America/Puerto_Rico,-4.0
00616,America/Puerto_Rico,-4.0
00617,America/Puerto_Rico,-4.0
00622,America/Puerto_Rico,-4.0
00623,America/Puerto_Rico,-4.0
00624,America/Puerto_Rico,-4.0
00627,America/Puerto_Rico,-4.0
00631,America/Puerto_Rico,-4.0
00637,America/Puerto_Rico,-4.0
00638,America/Puerto_Rico,-4.0
00641,America/Puerto_Rico,-4.0
00646,America/Puerto_Rico,-4.0
00647,America/Puerto_Rico,-4.0
00650,America/Puerto_Rico,-4.0
00652,America/Puerto_Rico,-4.0
00653,America/Puerto_Rico,-4.0
00656,America/Puerto_Rico,-4.0
00659,America/Puerto_Rico,-4.0
00660,America/Puerto_Rico,-4.0
00662,America/Puerto_Rico,-4.0
00664,America/Puerto_Rico,-4.0
00667,America/Puerto_Rico,-4.0
00669,America/Puerto_Rico,-4.0
00670,America/Puerto_Rico,-4.0
00674,America/Puerto_Rico,-4.0
00676,America/Puerto_Rico,-4.0
00677,America/Puerto_Rico,-4.0
00678,America/Puerto_Rico,-4.0
00680,America/Puerto_Rico,-4.0
00682,America/Puerto_Rico,-4.0
00683,America/Puerto_Rico,-4.0
00685,America/Puerto_Rico,-4.0
00687,America/Puerto_Rico,-4.0
00688,America/Puerto_Rico,-4.0
00690,America/Puerto_Rico,-4.0
00692,America/Puerto_Rico,-4.0
00693,America/Puerto_Rico,-4.0
00694,America/Puerto_Rico,-4.0
00698,America/Puerto_Rico,-4.0
00703,America/Puerto_Rico,-4.0
00704,America/Puerto_Rico,-4.0
00705,America/Puerto_Rico,-4.0
00707,America/Puerto_Rico,-4.0
00714,America/Puerto_Rico,-4.0
00715,America/Puerto_Rico,-4.0
00716,America/Puerto_Rico,-4.0
00717,America/Puerto_Rico,-4.0
00718,America/Puerto_Rico,-4.0
00719,America/Puerto_Rico,-4.0
00720,America/Puerto_Rico,-4.0
00723,America/Puerto_Rico,-4.0
00725,America/Puerto_Rico,-4.0
00727,America/Puerto_Rico,-4.0
00728,America/Puerto_Rico,-4.0
00729,America/Puerto_Rico,-4.0
